year,title,romanised_title,aka,publishers,year_release,region,platform,rating,consumer_advice,more_info
2018,THIS IS THE POLICE 2,THIS IS THE POLICE 2,na,THQ NORDIC,2018,EURO,"Nintendo Switch,PC,Sony Playstation 4,Xbox One",Age Advisory,na,"“This Is The Police 2” is a management and strategy game revolving around the police department of a fictional town, Sharpwood. The story follows Lilly Reed, a newly appointed sheriff who has to win the confidence of her police officers and take down the drug cartel that threatens the town. 

The game is rated Age Advisory (Suitable for 16 & Above). 

The player takes on the role of Lilly Reed and makes daily decisions on how to best deploy her police officers. An overview of Sharpwood is shown, with crime reports popping up which have to be attended to. In addition, the player also has to gather clues to progress in the overarching investigation into the drug cartel. 

The player has a team of officers at his disposal, each with their own strengths such as physical ability, stealth, negotiation etc. They also have their own personality quirks and it is up to the player to deploy them efficiently to meet the challenges of each case. The officers can be equipped with various tools such as stun batons, tasers and tear gas, which presents them with additional options to subdue criminals. From a top-down perspective, the police officers are seen taking down the criminals and handcuffing them. Some of the violence is represented in still images, such as a picture showing bloodstains on a police uniform as well as a picture showing a severed head and limbs lying on a shelf. In some of the scenarios, the player is able to choose whether they wish to torture a criminal for information. Various torture options such as injecting a truth serum, confinement, using medical instruments are presented via text options. When these options are selected, the victim can be heard screaming but there is no visual depiction. 

The game also contains some instances of nudity, in the form of still images showing the back nudity of some characters. Some scenes imply sexual violence or sexual activity, such as an image showing the back view of a naked man pushing another against the wall, and an image of a woman in her undergarments straddling a clothed man on the bed, without visible genitalia. The Age Advisory guidelines permit “nudity without details” and “portrayal of implied sexual activity”.

There are some depictions of drug use in the game. One still image shows a man injecting a woman with an unknown substance. Another image shows the same couple injecting themselves with drugs. The Age Advisory guidelines permit “depiction of illegal drug use which is incidental to the game and not realistic”, if the “content of the game does not encourage drug use”.

The game contains the infrequent use of coarse language, including the expletive ‘f**k’ that can be heard in the story scenes."
2018,OMEN OF SORROW,OMEN OF SORROW,na,SOEDESCO,2018,EURO,Sony Playstation 4,Age Advisory,na,"‘Omen Of Sorrow’ is a 2D fighting game where players take part in one-on-one fighting matches. The player will select a fighter from a roster of characters drawn from classical horror and fantasy stories such as angels, demons, vampires, monsters and sorcerers.

The game is rated Age Advisory (Suitable for 16 & Above).

Combat features mild violence where characters execute combo moves consisting of kicks, punches and throws. These actions are accompanied by special effects such as lightning strikes, sandstorms, blood magic and spirit summons. A character is defeated when the health bar is depleted and is knocked out. There are no depictions of injury.

Some of the female characters’ designs feature cleavage-revealing outfits, with exaggerated body proportions and breasts. Their breasts can be seen jiggling in the character introduction screen that precedes a match, and during movement and combat. These depictions would be appropriate under the guidelines for Age Advisory which state “still or moving images which may be mildly suggestive may be featured, e.g. scantily-clad women in bikinis or lingerie”."
2018,NHL 19,NHL 19,na,EA SPORTS,2018,US,"Sony Playstation 4,Xbox One",General,na,na
2018,FLIPPING DEATH,FLIPPING DEATH,na,RISING STAR GAMES,2018,EURO,"Nintendo Switch,Sony Playstation 4",General,na,na
2018,SUPER STREET: THE GAME,SUPER STREET: THE GAME,SUPER STREET THE GAME,FUNBOX MEDIA & KOTOBUKI SOLUTIONS,2018,"ASIA,EURO","Nintendo Switch,Sony Playstation 4",General,na,na
2018,MARIO & LUIGI: BOWSER'S INSIDE STORY + BOWSER JR.'S JOURNEY,MARIO & LUIGI: BOWSER'S INSIDE STORY + BOWSER JR.'S JOURNEY,na,NINTENDO,2019,US,Nintendo 3DS,General,na,na
2018,IMMORTAL UNCHAINED,IMMORTAL UNCHAINED,na,TOADMAN INTERACTIVE,2018,EURO,"Sony Playstation 4,Xbox One",Mature 18,VIOLENCE,"“Immortal: Unchained” is a third person shooter about a powerful and feared combatant who has been imprisoned by a mysterious warden. The protagonist is set free and told to save the nine worlds from destruction. Along the way, he tries to piece together his memories and find out why he was imprisoned in the first place. 

This game is rated M18 for violence.

Played from a third person perspective, the player controls the protagonist who has just awakened from his slumber. The player can customise the gender, appearance and combat class of the protagonist, which determines the weapons that will be used through the game. Both ranged (guns, grenade launchers, sniper rifles) and melee weapons (axes, daggers, swords) are available for use. By defeating enemies, the protagonist will pick up loot which can be used to upgrade and customise weapons.  

The protagonist fights against various enemies, such as cyborgs and robotic zombies. At the end of every level, a stronger boss monster has to be overcome in order to progress the game. Blood spurts occur frequently when enemies are damaged. The screen is also splattered with blood briefly when the protagonist suffers damage. However, the blood effect fades away quickly. Enemies collapse onto the ground when they are defeated and their bodies fade away quickly. Enemies’ limbs can be severed with targeted shots, and they can also be decapitated, with blood spurting out of the neck stump. The M18 guidelines permit “depictions of realistic violence, such as killing, maiming or causing other serious injury to humanoid characters if the violence is not sadistic, cruel or abhorrent.”"
2018,???? ????III,THE LEGEND OF HEROES: SEN NO KISEKI III,na,NIHON FALCOM CORPORATION,2018,ASIA,Sony Playstation 4,General,na,na
2018,STEEL RATS,STEEL RATS,na,SEGA,2018,ASIA,Sony Playstation 4,General,na,na
2018,XENOBLADE CHRONICLES 2: TORNA - THE GOLDEN COUNTRY,XENOBLADE CHRONICLES 2: TORNA - THE GOLDEN COUNTRY,na,NINTENDO,2018,ASIA,Nintendo Switch,General,na,na
